WorkerId,Name,Experiment,Link,isExperimentDone?,ST(10)/ET(40),totalWins,QuestionnairesDone?,Total payment,,Gender
64a683c2aa154e67c58b9726,pilot3-6,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=70f2e6b4c65f752091ab1e4da5457d6be822c3b35d5b68e3d5cbc87b06128123ba4e6cadb72038a41dc37d4be348e07a3ca022a7ea450c0b05bd2c93d9b2bb1d,1,60,2219,1,122,,0
64a683c2aa154e67c58b9727,pilot3-7,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=b79c88daa2c870a1437fa57bf0fbee93da81688340e0f64d909bb7d230a5d27e7d711efc7d25195cfa234f77bdc5f2e3ea34d4b3f15f7795dca27e5ace0ae23a,0,60,2462,,didn't finish,,
64a683c2aa154e67c58b9728,pilot3-8,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=4474ab8a8e5764c4f40bb8cb170991c95748e1819fd97b8c68023de4c37420d060600adf476099bebfc47b785b2178cdbd5e0fd6b5dc8c8ea6851bf0fbaff8df,1,60,2759,1,128,,1
64a683c2aa154e67c58b9729,pilot3-9,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=6af32f8f513f0f0c7cd402ecaf1eef20e99bd0c513d2a54a72409b9b74a5bcf7761859df2c87b8693302c80665e4865f35110080e860a2c900a2574d169e2c52,1,60,2712,,87,,0
64aac1e8d2c8fb647d0ad533,pilot3-10,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=75b1d1a24ee02d358e4e6a12aa16748918195da3c4175026e216b22fa88dda3cfa0fde05015a2f81f5735ef6d5f289181e3a6fa177c07983c4eeee99bfbd2e55,1,60,2828,,88,*problem with tests - did 1st day twice,1
64a683c2aa154e67c58b972b,pilot3-11,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=ed926ee21642065162e9176c8e26f44ebaa512d975dfe501d59e532fe42f82aa98db1aa462f3027be0314e4aa21eafb4907d9b88af0f7aca40a30b4e1c44500f,1,60,2747,1,127,,1
64aa453fd2c8fb647d0ad49e,pilot3-12,ET_DevL,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL?key=cff4ce2985b3693173d9f22ac60bd83abd0debd4f5ad2f24cf669b1f4280522e5980b04bdb858a97dc3e49e4f5325edb04ef29e2e0f2a47a4ea516b392fff62e,1,60,2834,1,128,,0
64a68463aa154e67c58b972e,pilot4-1,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=f71936832bee907c0315845a57767c1e4b340d89023c827a10c99d0f95f9c3d04681c74e7f17486d5b315e82da215b87948f43bfb2f38e08a18d460160f9c41d,1,60,2478,,85,,1
64a68463aa154e67c58b972f,pilot4-2,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=d58a70edadff3bbec58b3fc98259273548125d8cddd2c70f2b3a0089100566bd1bcc3d384b53a73c21333aec961f72d76691a8a5b568401839acb3b7bdc76843,1,60,2462,,85,*problem with tests - did 1st day twice,
64a68463aa154e67c58b9730,pilot4-3,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=46e9321dea12cee3078afbd5666a2479f5f158058ca34c4ec893c76153c058458935bdabae5dad032841fe4ae0a48c658fa3c0060e95c5446c3f7742f948918a,1,60,248,1,102,,1
64a68463aa154e67c58b9732,pilot4-5,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=caefdc1e4673417c9ad9717a2ba712f3d8a9e6f28f0dda96ebdf051165c1704038971c5a681b1fbcfd576cb8322bbcaaeea0c97272d232782b293dcab6445715,1,60,2465,1,125,,0
64a68463aa154e67c58b9733,pilot4-6,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=e2a5d85edda2e9eec20aed599df07f23fdf627358d78b6a6a977576b088425ec299d1b2959a425839abf92ec49d3a6b7d89624b1e4bdc693d24b384e92b346d0,1,60,2094,,81,,1
64a68463aa154e67c58b9734,pilot4-7,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=0d7b562e66cadc0ef910ba3be2d13c58eab7742d1075df196b797748f6a049b8f31c0991a21bf8554f30ca120a0f8f76432f776da64bec2837f51c41f6c38984,1,60,2317,1,123,,0
64a68463aa154e67c58b9735,pilot4-8,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=f7cbb69eab0445042a78a257dc2539f56bb78f8f407d74c13cadb3d06ac0224a8345b9249ce8a5ff925182fbf1a887b3034c57ec8041037c321196b5bd7f22a4,1,60,2528,,85,,1
64a68463aa154e67c58b9736,pilot4-9,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=327fed38054913fc63da1090be450dc22f010249782d1d3cc89c4bc2fc7f9ac64100cd44ad543e06da3b22547df64e6945a4aa4874ae3bb77ce60426b0d0ada8,1,60,2415,1,124,,0
64a68463aa154e67c58b9737,pilot4-10,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=db4b7df8c32f1f86b6f09d6651730844c28989e754f82675f9091363a98aff61c748c10e75eaece68ad86df4910f97e9a2652424497206f17d8f48d6f2620bda,1,60,2443,1,124,,1
64a68463aa154e67c58b9738,pilot4-11,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=3e9ec2d7d6d7a2859840d20888a73c2569b59b51376386d2a86965564b067b171520afb0da1a7e9c9e78b6ad0c4e3df2f906f3fd36ecb1208edaee9f931d2b2a,1,60,2513,1,125,,0
64a68463aa154e67c58b9739,pilot4-12,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=b1e1b5d7c69743e7b8dd0ca47ed6c66f86aeba5fa02b568c9652d5fca5662153b683366b2b9a15c12b332626e32aa46bc028c6820fc5d00781d6285dcda17c6f,0,60,2262,,didn't finish,,
64aa4862d2c8fb647d0ad4c5,pilot4-4,ET_DevR,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR?key=d69609cc18d3c0c9ee37c9335b1f29c3af64ccd7afc83a700da589c3b48e77f192c4aa58427de4107184e733b4a277c250841c4683c3f7e3d0eed49ccc543cc3,1,60,2424,,84,,1
