WorkerId,Name,Experiment,Sub Num,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,Gender
64f1e80dd2c8fb647d0add60,pilot3-12,ET_DevL2p,2312,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL2p?key=85694d48d976b40cf4ac51c3648d9369d9aa26fa80c81f0222f88acac7e2639ee8237c43603686382dac9e89d92ff0b22e3dcedda4416d18f0357617b3532773,,80,,,didn't finish,"said the game didn't work, didn't play and participation was stopped",
64f1e7cad2c8fb647d0add48,pilot4-1,ET_DevR2p,2401,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=aafbac4da92defd6c3f1d97b6ebffadb84e7b982affc1f56ea29e5e92cac631362d581901282a8a4db5193616777ff12518347227481aed618dff94b7647fea9,1,80,2355,1,120,,0
64f1e7cad2c8fb647d0add49,pilot4-2,ET_DevR2p,2402,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=1f1ce4ceca251704eae7b1f83befdcb80e2800e5d6f65c605dca154d567f3b0f09168a696060c09f9a19cdd6fea74baf5b6da3c8f886b463ec8a6e0bde571104,1,80,2428,1,120,,1
64f1e7cad2c8fb647d0add4a,pilot4-3,ET_DevR2p,2403,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=d4f3a5f5eb07bc3210e266db3a8b072a1a9b8827257b9a950a2b01bddb3854ed4ba9e90653480e41ad5641616182a8de2375d7b37cd1a5d9e1520f7a1bf8c0f0,,80,,,didn't finish,didn't start,
,pilot4-4,ET_DevR2p,2404,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=2851efb0a1f3c8db3dc5d457c3308139d90de8cda7cecf4158c969ac99bfc908964808fa459dbd037cd02ceb8725a4904ac63ac7a1792f506d9eb4846a4fff14,,80,,,didn't finish,stopped playing,
64f1e7cad2c8fb647d0add4c,pilot4-5,ET_DevR2p,2405,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=828915ade9f8265e4e7b0e3994c521f4ac86af9c4cbf222112219a619bdc74b427c599980cfa83f49321db3fb19b654e379ece43bf53b0bc2caa75d719f82c82,,80,,,didn't finish,stopped playing,
64f1e7cad2c8fb647d0add4d,pilot4-6,ET_DevR2p,2406,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=cccf1dd0e5925aa85fda70d16df4b18cfc30835d15bd3b76eef2702a6a9c7bcf485158c385a7479ec3180c25cf644850098533f0d579ce77fedc2d34e37b6a17,1,80,2349,1,120,,1
64f1e7cad2c8fb647d0add4e,pilot4-7,ET_DevR2p,2407,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=ae652e81450c7230e3edb9efa6f760ae8ef6e71328df21e30b67ee239f8aba49891fff50512c99bd1a8bdf45326b8190b2119b294070f1635b09760946211246,,80,,,didn't finish,stopped playing,
64f1e7cad2c8fb647d0add4f,pilot4-8,ET_DevR2p,2408,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=a8fc7a67b8bc3c986951e08c8cd4b57ef2accecdaeee8ed592e974c6a9633abd6cd02c304f7165b2bc5cbad62e689956a2fc26a7d7215d00e23e750ae0567871,1,80,2296,1,120,,1
64f1e7cad2c8fb647d0add50,pilot4-9,ET_DevR2p,2409,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=296cfa47eada00c8cfc16f3e19804fe0e5627b8b8d8aaa2982360c5a19046b530f6cde9012551f1ea3ad7205d45d98a0e047021e81e47630b5692b67d9ad060e,1,80,2391,1,120,,1
64f1e7cad2c8fb647d0add51,pilot4-10,ET_DevR2p,2410,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=96e6dae4f00d3fe640cc703320fa0b2442c8b06bcac8b4f5cf2d5debb9b3e7c6f00784e325eae2e74af4d00da42acc897f4cb23eaaaf89b4c169a4e0abcafd16,,80,,,didn't finish,didn't start the experiment,
64f1e7cad2c8fb647d0add52,pilot4-11,ET_DevR2p,2411,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=cda2ecdba7cf563998c1954ae01d301c1df97b11017b231c6a3d54ddbc240e96f4385372e560ce88214c057a6249416c9c744734ce44a0a9d55236dfd1d9e94f,,80,,1,didn't finish,"problem with the game, tests didn't start, did 2 tests on the last day (10 min)",
64f1e7f3d2c8fb647d0add53,pilot4-12,ET_DevR2p,2412,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=856d358ab54ec3a200510f6774690bbf46191eb9f141de4605b15151e48d168f2d8490925bdd90fb979ac0bed7361ff500cafaf32b0a6ca6ed5f4fcb0e3f53af,1,80,,1,120,,0
64f4480ad2c8fb647d0addfd,pilot4-13,ET_DevR2p,2413,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR2p?key=7ac9e42dd1abf9f23e4d5e341b42fd8f39d8d321f4ce522cc9971d12fe8867d68b28a3fa343f1212441a5bf3c7a83441848fa1fb5ce5eade518a606ccc10da9d,1,80,,1,120,"had a problem with the app, game didn't end",1
