WorkerId,Sub Num,Experiment,Link,isExperimentDone?,ST(18)/ET(80),totalWins,QuestionnairesDone?,Total payment,,,Gender
65e86454d2c8fb647d0aef77,pilot43-5,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=d2061f218f291d4d4e05febb390d2aa452e537944e33657f7e56ee7cf1ba838b42e31bf63dfe10e50d7a79dec728ac99a590009ced0f656c4c3809ddc7e6c3bf,,80,,0,didn't finish,stopped playing,,
65e86454d2c8fb647d0aef78,pilot43-6,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=88ae0952ebbe393cfc382508830c7f0637624a6d57187022f73a756f45c68421fa9c8cf5faa313e16e88debd9d68f4764875a97c176ec4d7c897b1a0752295c8,1,80,3140,1,120,played extra 2 days because tests didn’t start,4306,0
65e86454d2c8fb647d0aef79,pilot43-7,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=14261b120f18bf7ddaeea13b837218e5439bbcda76d5fb1f27d6065e34c07c254fef8aa88da28b5bd0210d2493f1d43c47ab291ceeb98309c2c159c558b89705,1,80,2983,1,120,,4307,1
65e86454d2c8fb647d0aef7a,pilot43-8,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=bfe0560f4e6c3ce3a0124c6d5abf81d54fb1a268ede2fe6374bbd108ee900790256997eb10d94b96c6aee03c46fc104ff5b2a3c055d413a6d62c7e9697939966,,80,,0,didn't finish,stopped playing,,
65ed5b6dd2c8fb647d0af000,pilot43-9,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=b8eff4e8cb538870af921689c02286a634a5a8925748aca7ddad0385de4d83310c93e07de921d4f7b813ea8a41e99cfded6726bf2e72c74b3b6dcbe7a0ef593f,2,80,3125,1,120,outlier 2 tests,4309,0
65e86454d2c8fb647d0aef7c,pilot43-10,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=dc9c66f2de0b8c430bd43f440ac6c2ddd445d2c90a8a1c10d1b03d3f47de66ee121ab87eb1b7e80bfb7af45d030a99096ed10e1b160c36bea4ae43f238371aee,,80,,0,didn't finish,didn't start,,
65e86454d2c8fb647d0aef7d,pilot43-11,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=993159b6ae76a70e883a716e1067dfc1b0e63360e84d102407bf4d822a6699fd2f77ca02db8d6ba4b8f2f0b51babfb85f670e3bab851bcbedd985b6d4bc9acf5,1,80,2880,1,120,,4311,1
65e86454d2c8fb647d0aef7e,pilot43-12,ET_DevL_Mar2024,https://experiments.schonberglab.org/v2/public/experiment/ET_DevL_Mar2024?key=90f26e51e86184497abead0560e6a5c8d93b09d42a4b6643e58529e75b4822b2fe17e9c63abd888f3cde7bc4a0028c578f445751972cfd1f4b4662905c5f4d1a,1,80,2888,1,120,,4312,1
65eb0482d2c8fb647d0aefc7,pilot44-1,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b3482c2c1667fe4eff94d1fde8aa9db23e71c456df2eee9c4690fe14a5e43b367b70475b46c8bd2af41287e8f2832b03d17d9fce24a463254cdb01de8151ec30,1,80,3028,1,120,,4401,0
65eb0482d2c8fb647d0aefc8,pilot44-2,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=660c5d1932f62792be45e2b490f9b24aeade38fcf5d9d4c23a55ce95e7aeb98ada8bbc67be3edbecb9a08fbf2507338b0939ca558d8cac9bb7872c8e1b695893,1,80,2920,1,120,,4402,1
65eb0482d2c8fb647d0aefc9,pilot44-3,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=765e7f0dbffc047b2d7a3fffdef0a68decf7c58544dc6d2215ac9b28b273f5aa1e75391fe806cf1e2c25a2f07e54a242ff1cdf1efadfed42f8f73e2523e3cc98,1,80,2711,1,120,,4403,1
65eb0482d2c8fb647d0aefca,pilot44-4,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b54c31d4fc74b5853b98cf7cbfcbcfbd86dcd01311cc8e0651d72185f938a24b1421737de3c54fb72e3306138b43f33710d99e88e52cb41373735742bd9b48cb,2,80,2875,1,120,outlier 2 tests,4404,0
65eb0482d2c8fb647d0aefcb,pilot44-5,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=ea6b3227a7bb8bcc754f10f07e63987f302b55d8426beeff88fb9186312130232ec354cbbd02afababfbe5a4929f891728933ab0243d7bbbc5c2c61eb22562cb,1,80,2992,1,120,,4405,1
65eb0482d2c8fb647d0aefcc,pilot44-6,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=b8f7adeb3b09569ab9133c2c9bf103bbe3f9305c36701bf29274854b77a003d4467631fae59533a4780b34e2ed7769db20691ed269b3eb7f593787bdb243e610,1,80,3316,1,120,played extra 1 day because tests didn’t start,4406,1
65eb0482d2c8fb647d0aefcd,pilot44-7,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=d174cd797860da7d53b416b63dd282600021fc4a7fd763ef7627a8dd4b79ae67b2a7ae7de9009af0ccb03836a62be8f79367d3dbe4c7cc57a7b85360f39f86f4,,80,,0,didn't finish,didn't start,,
65ed6cddd2c8fb647d0af014,pilot44-8,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=025f3865ef444e7d1578d4d6790542a827a6e65be054cbda56b6482f34809d8023aa294e9a086b572a2190ee82115834d41ca816034f01e6980f3d7efc54254a,1,80,2643,1,120,,4408,1
65eb0482d2c8fb647d0aefcf,pilot44-9,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=15a9973701e3b97fc8102b3b5814e620572f33755bef0e1078700f72162331c8e4cc37af1e241806ecb7fac2d7cfc04eac92ef5003e673f57862d7d09bb7701d,1,80,2705,1,120,,4409,1
65eb0482d2c8fb647d0aefd0,pilot44-10,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=23a457da03190158efc5db7ae58e6a5ea08bb90a6aaf42b4b03c14e7ea972b92dcff73fd3b9ada77bbd3e8d92d0099e8d92231ed0db2fbfc46bd0ab1f1edc814,1,80,2984,1,120,,4410,1
65eb0482d2c8fb647d0aefd1,pilot44-11,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=e15a44fd3e8a0af61769cabb7b551b8f7a4fc3a65fd612469212daa2fe4e7e7e0f896e5063d338ed3c5aacf251ef1bbf393ba2ae61e599050228e22e8d39abd1,2,80,2661,1,120,outlier 2 tests,4411,1
65eb0482d2c8fb647d0aefd2,pilot44-12,ET_DevR_Mar24,https://experiments.schonberglab.org/v2/public/experiment/ET_DevR_Mar24?key=3362479d8a5f5c54ecfa725b10e3b00b896db05bfba015bfdee2bfc0f21dbe160f6d0d4a83dc7385b12570039407790cac4d9807205d6bf4e88b2c2217d924b9,1,80,2772,1,120,,4412,1
